id	maccs-0	maccs-0.1	maccs-0.2	maccs-0.3
40a	0.77551020408005	0.787234042551517	0.782608695650473	0.785714285712415
41a	0.458333333332378	0.478260869564178	0.465116279068686	0.449999999998875
42a	0.672413793102289	0.660714285713106	0.6999999999986	0.688888888887358
43a	0.33333333333287	0.338028169013608	0.359374999999438	0.339285714285108
44a	0.842105263155679	0.861111111108719	0.857142857140408	0.848484848482277
45a	0.402777777777218	0.397058823528828	0.396825396824767	0.392857142856441
46a	0.906249999997168	0.899999999997	0.892857142853954	0.884615384611982
47a	0.746268656715304	0.749999999998828	0.766666666665389	0.763636363634975
48a	0.468749999998535	0.517241379308561	0.518518518516598	0.55999999999776
49a	0.266666666666074	0.285714285713605	0.274999999999312	0.314285714284816
50a	0.205128205127679	0.216216216215632	0.171428571428082	0.19354838709615
51a	0.964912280700062	0.962264150941581	0.95918367346743	0.949999999997625
52a	0.441176470587586	0.424242424241781	0.409836065573099	0.388888888888169
53a	0.48484848484775	0.46031746031673	0.433333333332611	0.442307692306842
54a	0.7878787878764	0.774193548384599	0.793103448273127	0.814814814811797
55a	0.624999999998884	0.629629629628464	0.60784313725371	0.599999999998667
56a	0.799999999998222	0.795454545452738	0.809523809521882	0.820512820510717
57a	0.911764705879671	0.909090909088154	0.903225806448699	0.896551724134839
58a	0.999999999998077	0.999999999998	0.999999999997917	0.999999999997674
59a	0.338709677418809	0.344827586206302	0.333333333332749	0.33999999999932
60a	0.756097560973766	0.763157894734834	0.74285714285502	0.749999999997656
61a	0.297297297296896	0.291666666666262	0.289855072463348	0.322033898304539
62a	0.384615384613905	0.35999999999856	0.347826086955009	0.363636363634711
63a	0.234374999999634	0.249999999999583	0.241379310344411	0.235294117646597
64a	0.39285714285574	0.43999999999824	0.454545454543388	0.454545454543388
65a	0.874999999998177	0.872340425530059	0.888888888886914	0.878048780485663
66a	0.999999999998462	0.999999999998361	0.999999999998276	0.999999999997959
67a	0.874999999998437	0.870370370368759	0.862745098037524	0.911111111109086
68a	0.788461538460022	0.816326530610579	0.808510638296152	0.8139534883702
69a	0.666666666665278	0.666666666665185	0.642857142855612	0.641025641023997
70a	0.313953488371728	0.309523809523441	0.311688311687907	0.32352941176423
71a	0.860465116277069	0.857142857140816	0.868421052629294	0.864864864862527
72a	0.903846153844416	0.916666666664757	0.902439024388043	0.894736842102908
73a	0.26315789473615	0.277777777777006	0.264705882352163	0.249999999999219
74a	0.31999999999936	0.312499999999349	0.31111111111042	0.309523809523073
75a	0.874999999998437	0.867924528300249	0.85999999999828	0.857142857140816
76a	0.327586206895987	0.321428571427997	0.307692307691716	0.312499999999349
77a	0.822222222220395	0.818181818179959	0.799999999998	0.783783783781665
78a	0.265624999999585	0.278688524589707	0.280701754385472	0.27450980392103
79a	0.448275862068193	0.436363636362843	0.403846153845377	0.404255319148076
80a	0.999999999997436	0.999999999997222	0.99999999999697	0.999999999996774
81a	0.318681318680968	0.325581395348459	0.329113924050216	0.34722222222174
82a	0.92187499999856	0.920634920633459	0.949152542371273	0.94230769230588
83a	0.840579710143709	0.833333333332071	0.838709677418002	0.839285714284216
84a	0.916666666664757	0.913043478258885	0.911111111109086	0.902439024388043
85a	0.961538461534763	0.95833333332934	0.956521739126276	0.952380952376417
86a	0.444444444443457	0.418604651161817	0.424999999998938	0.416666666665509
87a	0.74285714285502	0.735294117644896	0.749999999997656	0.793103448273127
88a	0.309859154929141	0.32352941176423	0.338461538461018	0.310344827585672
89a	0.97999999999804	0.979166666664627	0.977272727270506	0.974358974356476
90a	0.309859154929141	0.314285714285265	0.317460317459814	0.333333333332749
91a	0.733333333332111	0.741379310343549	0.784313725488658	0.795454545452738
92a	0.999999999997727	0.999999999997674	0.999999999997561	0.999999999997368
93a	0.199999999999733	0.199999999999714	0.184615384615101	0.218181818181421
94a	0.795918367345314	0.795918367345314	0.782608695650473	0.8139534883702
95a	0.370370370369685	0.372549019607113	0.333333333332639	0.363636363635537
96a	0.603773584904521	0.5999999999988	0.617021276594432	0.666666666665079
97a	0.666666666663889	0.666666666663889	0.636363636360744	0.636363636360744
98a	0.226415094339195	0.21999999999956	0.212765957446356	0.227272727272211
99a	0.74545454545319	0.788461538460022	0.77999999999844	0.799999999998222
100a	0.830188679243717	0.843137254900308	0.836734693875843	0.84090909090718
