id	ref	maccs-0	maccs-0.1	maccs-0.2	maccs-0.3	pubchem-0	pubchem-0.1	pubchem-0.2	pubchem-0.3
32a	0.0234	0.377358490565326	0.408163265305289	0.38297872340344	0.461538461537278	0.612903225806056	0.629370629370189	0.631578947367946	0.635658914728189
33a	0.8438	0.763157894734834	0.783783783781665	0.764705882350692	0.806451612900624	0.903225806450885	0.897435897435131	0.890909090908281	0.88785046728889
34a	0.25	0.555555555554012	0.558823529410121	0.562499999998242	0.607142857140689	0.822429906541288	0.826923076922282	0.826530612244055	0.821052631578083
35a	0.0469	0.54054054053981	0.541666666665914	0.558823529410943	0.54098360655649	0.487603305784923	0.486956521738919	0.50961538461514	0.51999999999974
36a	0.8438	0.876923076921728	0.870967741934079	0.87931034482607	0.867924528300249	0.94949494949447	0.951086956521222	0.948275862068421	0.9567901234562
37a	0.0234	0.384615384614962	0.37931034482715	0.367088607594472	0.394366197182543	0.529411764705688	0.534693877550802	0.573394495412581	0.59134615384587
38a	0.0547	0.564516129031348	0.566666666665722	0.547169811319722	0.577777777776494	0.732394366196667	0.744186046511051	0.78761061946833	0.841584158415008
39a	0.0156	0.163265306122116	0.173913043477883	0.16279069767404	0.189189189188678	0.461538461538107	0.487394957982784	0.495495495495049	0.490909090908645
40a	0.875	0.77551020408005	0.787234042551517	0.782608695650473	0.785714285712415	0.781249999998779	0.790322580643887	0.779661016947831	0.793103448274495
41a	0.1094	0.458333333332378	0.478260869564178	0.465116279068686	0.449999999998875	0.707692307691763	0.727272727272126	0.76363636363567	0.773584905659648
42a	0.5827	0.672413793102289	0.660714285713106	0.6999999999986	0.688888888887358	0.835294117646076	0.860759493669797	0.878378378377192	0.874999999998785
43a	0.0236	0.33333333333287	0.338028169013608	0.359374999999438	0.339285714285108	0.515337423312567	0.569444444444049	0.587301587301121	0.571428571428091
44a	0.8125	0.842105263155679	0.861111111108719	0.857142857140408	0.848484848482277	0.924050632910223	0.973333333332036	0.972972972971658	0.972602739724695
45a	0.0156	0.402777777777218	0.397058823528828	0.396825396824767	0.392857142856441	0.390862944162238	0.401098901098681	0.40697674418581	0.419753086419494
46a	0.7109	0.906249999997168	0.899999999997	0.892857142853954	0.884615384611982	0.894736842104321	0.891304347825118	0.885057471263351	0.880952380951332
47a	0.4063	0.746268656715304	0.749999999998828	0.766666666665389	0.763636363634975	0.772727272726922	0.775609756097183	0.797872340425108	0.795454545454094
48a	0.811	0.468749999998535	0.517241379308561	0.518518518516598	0.55999999999776	0.824561403508049	0.849056603772784	0.878787878786991	0.894736842104321
49a	0.0156	0.266666666666074	0.285714285713605	0.274999999999312	0.314285714284816	0.497297297297029	0.530487804877725	0.556291390728109	0.597122302157844
50a	0.0313	0.205128205127679	0.216216216215632	0.171428571428082	0.19354838709615	0.582608695651667	0.594594594594059	0.607476635513451	0.624999999999399
